"PPLOT","SPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
15,1,NA,NA,NA,NA,NA,NA,0,0,0,86
15,1,NA,NA,NA,NA,NA,NA,0,0,0,87
15,1,7.2,7.35,2.13675321123294,15.925,17.9,4.50547286245137,3,5,8,98
15,1,NA,NA,NA,NA,NA,NA,0,0,0,10
15,2,8.33478260869565,8.5,1.72932164726051,13.3391304347826,13.1,3.96240734109441,20,3,23,86
15,2,NA,NA,NA,NA,NA,NA,0,0,0,87
15,2,10.0166666666667,10.15,1.25468817809144,17.1166666666667,16.4,3.94734279630173,9,3,12,98
15,2,10.196,10.23,1.28260325553583,18.9,18.15,4.83620604284897,10,0,10,10
15,3,NA,NA,NA,NA,NA,NA,0,0,0,86
15,3,NA,NA,NA,NA,NA,NA,0,0,0,87
15,3,9.71818181818182,10,1.9187590686786,16.9818181818182,15.5,4.44270597312453,8,3,11,98
15,3,NA,NA,NA,NA,NA,NA,0,0,0,10
15,4,NA,NA,NA,NA,NA,NA,0,0,0,86
15,4,NA,NA,NA,NA,NA,NA,0,0,0,87
15,4,9.25,8.8,1.71221104618171,18.08,16.85,5.30509189364331,5,5,10,98
15,4,NA,NA,NA,NA,NA,NA,0,0,0,10
16,1,NA,NA,NA,NA,NA,NA,0,0,0,86
16,1,NA,NA,NA,NA,NA,NA,0,0,0,87
16,1,12.76,12.8,1.29923054151294,19.54,18.9,5.99483110687866,2,3,5,98
16,1,NA,NA,NA,NA,NA,NA,0,0,0,10
16,2,NA,NA,NA,NA,NA,NA,0,0,0,86
16,2,12.75,12.75,0.353553390593274,17.9,17.9,10.040916292849,0,2,2,87
16,2,12.4333333333333,12.4,2.24276614920058,18.9777777777778,19.1,4.22338068902679,9,0,9,98
16,2,13.336,13.36,0.295854694064501,21.14,21.4,1.73867765845196,5,0,5,10
16,3,NA,NA,NA,NA,NA,NA,0,0,0,86
16,3,NA,NA,NA,NA,NA,NA,0,0,0,87
16,3,15.8,15.8,0.848528137423857,33.25,33.25,8.55599205235722,0,2,2,98
16,3,NA,NA,NA,NA,NA,NA,0,0,0,10
16,4,NA,NA,NA,NA,NA,NA,0,0,0,86
16,4,15.4,15.4,NA,25.7,25.7,NA,0,1,1,87
16,4,15.075,14.25,1.73431748617638,22.3625,20.5,6.68792889145383,6,2,8,98
16,4,NA,NA,NA,NA,NA,NA,0,0,0,10
17,1,NA,NA,NA,NA,NA,NA,0,0,0,86
17,1,12.45,12.45,3.88908729652601,19.75,19.75,1.76776695296637,1,1,2,87
17,1,16.539982809,15.955842218,1.86889531350847,24.0833333333333,22.95,4.39700655749644,5,1,6,98
17,1,NA,NA,NA,NA,NA,NA,0,0,0,10
17,2,NA,NA,NA,NA,NA,NA,0,0,0,86
17,2,14.8,14.8,0.282842712474619,22.7,22.7,0.282842712474618,2,0,2,87
17,2,16.47739730775,17.160340026,2.38060040521638,25.3,25.8,3.25985684757271,4,0,4,98
17,2,NA,NA,NA,NA,NA,NA,0,0,0,10
17,3,NA,NA,NA,NA,NA,NA,0,0,0,86
17,3,16.25,16.1,1.30256157883866,26.8,26.35,4.2339894504671,2,2,4,87
17,3,17.48706458875,17.512933555,1.66582606102554,29.1,28.85,4.9349096580721,4,0,4,98
17,3,NA,NA,NA,NA,NA,NA,0,0,0,10
17,4,NA,NA,NA,NA,NA,NA,0,0,0,86
17,4,14.675,14.65,2.06135068987949,20.35,17.95,7.6186175473857,2,2,4,87
17,4,15.9554048536,16.2,0.950517442129656,28.92,27,11.3501982361543,4,1,5,98
17,4,18.3283333333333,18.99,1.94415448631704,27.9666666666667,23.1,11.8924625989181,6,0,6,10
18,1,NA,NA,NA,NA,NA,NA,0,0,0,86
18,1,10.4,10.4,1.97989898732233,17.65,17.65,10.5358910396796,1,1,2,87
18,1,12.563991441125,12.5,0.77198269409602,19.425,17.3,4.65947575224019,6,2,8,98
18,1,11.4242857142857,10.92,2.31299846622558,20.4142857142857,19.3,8.1401123193374,7,0,7,10
18,2,NA,NA,NA,NA,NA,NA,0,0,0,86
18,2,NA,NA,NA,NA,NA,NA,0,0,0,87
18,2,13.0166666666667,12.95,1.06285778289791,19.7333333333333,18.15,4.9179941710688,4,2,6,98
18,2,NA,NA,NA,NA,NA,NA,0,0,0,10
18,3,NA,NA,NA,NA,NA,NA,0,0,0,86
18,3,12.5333333333333,12.8,2.11266025033211,16.6666666666667,18.7,5.53744826913384,3,0,3,87
18,3,14.6571428571429,15.2,1.50870490030041,22.2,21.5,4.38824186510574,6,1,7,98
18,3,NA,NA,NA,NA,NA,NA,0,0,0,10
18,4,NA,NA,NA,NA,NA,NA,0,0,0,86
18,4,11.26,11.2,1.67570880525227,12.24,11.2,3.57043414727117,5,0,5,87
18,4,13.65,13.7,1.45570976128173,20.0083333333333,20.05,5.19465780364498,11,1,12,98
18,4,NA,NA,NA,NA,NA,NA,0,0,0,10
19,1,NA,NA,NA,NA,NA,NA,0,0,0,86
